Shopping,Area por m2,City,State
PONTAL SHOPPING,19791,Porto Alegre , RS
PONTÃO DO LAGO SUL,1240000,Brasília , DF
PONTEIO LAR SHOPPING,15035,Belo Horizonte , MG
PORTAL SHOPPING,42782,Goiânia , GO
PORTAL SUL SHOPPING,31083,Goiânia , GO
PORTO ALEGRE CENTERLAR,32274,Porto Alegre , RS
PORTO VELHO SHOPPING,138000,Porto Velho , RO
POUPA SHOPPING COTIA,20000,Cotia , SP
POWER SHOPPING CENTERMINAS,47185,Belo Horizonte , MG
PRAÇA RIO GRANDE SHOPPING CENTER,125158,Rio Grande , RS
PRAÇA UBERABA SHOPPING CENTER,46182,Uberaba , MG
PRADO BOULEVARD,15915,Campinas , SP
PRAIA DE BELAS SHOPPING CENTER,0,Porto Alegre , RS
PRAIA SHOPPING,10483,Natal , RN
PRAIAMAR SHOPPING CENTER,0,Santos , SP
PRATAVIERA SHOPPING,1804,Caxias do Sul , RS
PRUDENSHOPPING,61345,Presidente Prudente , SP
RAPOSO SHOPPING,45685,São Paulo , SP
RECANTO SHOPPING,4290,Brasília , DF
RECREIO SHOPPING CENTER,37650,Rio de Janeiro , RJ
RESENDE SHOPPING,6800,Resende , RJ
RESERVA OPEN MALL,0,Fortaleza , CE
RIBEIRÃOSHOPPING,237306,Ribeirão Preto , SP
RIO ANIL SHOPPING,61155,São Luís , MA
RIO DESIGN BARRA,29955,Rio de Janeiro , RJ
RIO DESIGN LEBLON,0,Rio de Janeiro , RJ
RIO SUL SHOPPING CENTER,23127,Rio de Janeiro , RJ
RIO TAPAJÓS SHOPPING,54000,Santarém , PA
RIOMAR KENNEDY,82460,Fortaleza , CE
RIOMAR SHOPPING (FORTALEZA),320000,Fortaleza , CE
RIOMAR SHOPPING ARACAJU,94020,Aracaju , SE
RIOPRETO SHOPPING CENTER,107000,São José do Rio Preto , SP
RIVER SHOPPING,107350,Petrolina , PE
ROAD SHOPPING,101000,Itu , SP
RONDON PLAZA SHOPPING,61062,RONDONÓPOLIS , MT
RORAIMA GARDEN SHOPPING,102500,Boa Vista , RR
ROYAL PLAZA SHOPPING,9324,Santa Maria , RS
ROYAL PLAZA SHOPPING LONDRINA,3764,Londrina , PR
RUA DA PRAIA SHOPPING,2968,Porto Alegre , RS
SALGUEIRO SHOPPING,6319,Salgueiro , PE
SALINAS SHOPPING,40000,Fortaleza , CE
SALVADOR NORTE SHOPPING,52868,Salvador , BA
SALVADOR SHOPPING,89597,Salvador , BA
SANTA MARIA SHOPPING,0,Brasília , DF
SANTANA PARQUE SHOPPING,29452,São Paulo , SP
SÃO BERNARDO PLAZA SHOPPING,104797,São Bernardo do Campo , SP
SÃO GONÇALO SHOPPING,69460,São Gonçalo , RJ
SÃO LUÍS SHOPPING CENTER,149700,São Luís , MA
SERRAMAR SHOPPING,163000,Caraguatatuba , SP
SERRASUL SHOPPING,145155,Pouso Alegre , MG
SHOPPING ABC,33287,Santo André , SP
SHOPPING ALEGRIA,45000,Várzea Paulista , SP
SHOPPING AMÉRICO SILVA,1158,Três Rios , RJ
SHOPPING ANÁLIA FRANCO,0,São Paulo , SP
SHOPPING ARAGUAIA GURUPI,40000,Gurupi , TO
SHOPPING AVENIDA,11025,Feira de Santana , BA
SHOPPING AVENIDA CENTER DOURADOS,0,Dourados , MS
SHOPPING AVENIDA CENTER MARINGÁ,24849,Maringá , PR
SHOPPING BARRA,43783,Salvador , BA
SHOPPING BAY MARKET,7047,NITERÓI , RJ
SHOPPING BELA VISTA,72000,Salvador , BA
SHOPPING BENFICA,29284,Fortaleza , CE
SHOPPING BOA VISTA,8887,Recife , PE
SHOPPING BONSUCESSO,87932,Guarulhos , SP
SHOPPING BOSQUE DOS IPÊS,144500,Campo Grande , MS
SHOPPING BOSQUE GRÃO PARÁ,125000,Belém , PA
SHOPPING BOUGAINVILLE,7300,Goiânia , GO
SHOPPING BOULEVARD,19033,Rio de Janeiro , RJ
SHOPPING BOULEVARD GARDEN ARAXÁ,4030,Araxá , MG
SHOPPING CAJAZEIRAS,9773,Salvador , BA
SHOPPING CAMPO GRANDE,127971,Campo Grande , MS
SHOPPING CAMPO LIMPO,33706,São Paulo , SP
SHOPPING CARPINA,0,Carpina , PE
SHOPPING CENTER 3,7000,São Paulo , SP
SHOPPING CENTER AGUAVERDE,6000,Curitiba , PR
SHOPPING CENTER CIDADE DAS FLORES,17124,Joinville , SC
SHOPPING CENTER COSTA DOURADA,78633,Cabo de Santo Agostinho , PE
SHOPPING CENTER FERNANDÓPOLIS,76337,Fernandópolis , SP
SHOPPING CENTER IGUATEMI CAMPINAS,0,Campinas , SP
SHOPPING CENTER IGUATEMI ESPLANADA,68485,Sorocaba , SP
SHOPPING CENTER IGUATEMI PORTO ALEGRE,0,Porto Alegre , RS
SHOPPING CENTER IGUATEMI RIBEIRÃO PRETO,100104,Ribeirão Preto , SP
SHOPPING CENTER IGUATEMI SÃO CARLOS,0,São Carlos , SP
SHOPPING CENTER IGUATEMI SÃO PAULO,0,São Paulo , SP
SHOPPING CENTER LAPA SALVADOR,8577,Salvador , BA
SHOPPING CENTER LAPASP,6887,São Paulo , SP
SHOPPING CENTER NORTE,164788,São Paulo , SP
SHOPPING CENTER PARALELA,60000,Salvador , BA
SHOPPING CENTER PENHA,22894,São Paulo , SP
SHOPPING CENTER PIEDADE,13581,Salvador , BA
SHOPPING CENTER RIO CLARO,65000,Rio Claro , SP
SHOPPING CENTER TRÊS AMÉRICAS,17099,Cuiabá , MT
SHOPPING CENTER UBERABA,115000,Uberaba , MG
SHOPPING CENTRO,0,São José dos Campos , SP
SHOPPING CENTRONORTE,6629,Apucarana , PR
SHOPPING CERRADO,64672,Goiânia , GO
SHOPPING CIDADE,7551,Belo Horizonte , MG
SHOPPING CIDADE CURITIBA,24000,Curitiba , PR
SHOPPING CIDADE DAS ARTES,0,Embu das Artes , SP
SHOPPING CIDADE DOS LAGOS,67000,Guarapuava , PR
SHOPPING CIDADE JARDIM,26919,Goiânia , GO
SHOPPING CIDADE JARDIM,19242,São Paulo , SP
SHOPPING CIDADE JARDIM NATAL,13392,Natal , RN
SHOPPING CIDADE LESTE,22000,Manaus , AM
SHOPPING CIDADE LUZ,52000,Guarabira , PB
SHOPPING CIDADE MARINGÁ,37463,Maringá , PR
SHOPPING CIDADE NORTE,70597,São José do Rio Preto , SP
SHOPPING CIDADE SÃO PAULO,11953,São Paulo , SP
SHOPPING CIDADE SOROCABA,60000,Sorocaba , SP
SHOPPING CIDADE VERDE,13000,Parnamirim , RN
SHOPPING CONJUNTO NACIONAL,21068,Brasília , DF
SHOPPING CONQUISTA SUL,34200,Vitória da Conquista , BA
SHOPPING CONTAGEM,37787,Contagem , MG
SHOPPING CRYSTAL,8351,Curitiba , PR
SHOPPING CURITIBA,14206,Curitiba , PR
SHOPPING D,28967,São Paulo , SP
SHOPPING DA BAHIA,93620,Salvador , BA
SHOPPING DA GÁVEA,11124,Rio de Janeiro , RJ
SHOPPING DA ILHA,43019,São Luís , MA
SHOPPING DA VILA,56412,Delmiro Gouveia , AL
SHOPPING DEL PASEO,10000,Fortaleza , CE
SHOPPING DEL REY,69638,Belo Horizonte , MG
SHOPPING DIADEMA,16745,Diadema , SP
SHOPPING DIFUSORA,10000,Caruaru , PE
SHOPPING DO AUTOMÓVEL HOLANDESES,15500,São Luís , MA
SHOPPING DO MÉIER,0,Rio de Janeiro , RJ
SHOPPING DO VALE,0,Cachoeirinha , RS
SHOPPING DOWNTOWN,0,Rio de Janeiro , RJ
SHOPPING ELDORADO,70726,São Paulo , SP
SHOPPING ESTAÇÃO,32749,Curitiba , PR
SHOPPING ESTAÇÃO BH,58457,Belo Horizonte , MG
SHOPPING ESTAÇÃO CUIABÁ,65767,Cuiabá , MT
SHOPPING ESTAÇÃO GOIÂNIA,68847,Goiânia , GO
SHOPPING ETC,0,Recife , PE
SHOPPING EUSÉBIO,44000,Eusébio , CE
SHOPPING FIESTA,70292,São Paulo , SP
SHOPPING FLAMINGO,0,Barueri , SP
SHOPPING FRANCO DA ROCHA,10006,Franco da Rocha , SP
SHOPPING FREI CANECA,10103,São Paulo , SP
SHOPPING GALERIA,4787,Osasco , SP
SHOPPING GALLO,6000,Goiânia , GO
SHOPPING GERMÂNIA,9427,Santa Cruz do Sul , RS
SHOPPING GRANDE CIRCULAR,21231,Manaus , AM
SHOPPING GRANDE RIO,160467,São João de Meriti , RJ
SHOPPING GRANJA VIANNA,32952,Cotia , SP
SHOPPING GUARARAPES,130000,Jaboatão dos Guararapes , PE
SHOPPING HORTOLÂNDIA,23105,Hortolândia , SP
SHOPPING IBIRAPUERA,37148,São Paulo , SP
SHOPPING ID,14000,Brasília , DF
SHOPPING IGARASSU,10277,Igarassu , PE
SHOPPING IGUATEMI ALPHAVILLE,0,Barueri , SP
SHOPPING IGUATEMI BRASÍLIA,34658,Brasília , DF
SHOPPING IGUATEMI SÃO JOSÉ DO RIO PRETO,100000,São José do Rio Preto , SP
SHOPPING INTERLAGOS,480000,São Paulo , SP
SHOPPING ITAGUAÇU,80000,São José , SC
SHOPPING ITAIGARA,10785,Salvador , BA
SHOPPING JARAGUÁ ARARAQUARA,111638,Araraquara , SP
SHOPPING JARAGUÁ CENESP,250000,São Paulo , SP
SHOPPING JARAGUÁ INDAIATUBA,14008,Indaiatuba , SP
SHOPPING JARDIM DAS AMÉRICAS,14391,Curitiba , PR
SHOPPING JARDIM GUADALUPE,63900,Rio de Janeiro , RJ
SHOPPING JARDIM NORTE,80000,Juiz de Fora , MG
SHOPPING JARDIM ORIENTE,250000,São José dos Campos , SP
SHOPPING JARDIM SUL,22973,São Paulo , SP
SHOPPING JARDINS,132600,Aracaju , SE
SHOPPING JEQUITI,56483,Guarujá , SP
SHOPPING JEQUITIBÁ,30098,Itabuna , BA
SHOPPING JK IGUATEMI,0,São Paulo , SP
SHOPPING JOÃO PESSOA,4739,Porto Alegre , RS
SHOPPING LA PLAGE,5905,Guarujá , SP
SHOPPING LAJEADO,22394,Lajeado , RS
SHOPPING LAR CENTER,123137,São Paulo , SP
SHOPPING LEBLON,16709,Rio de Janeiro , RJ
SHOPPING LIGHT,18600,São Paulo , SP
SHOPPING LUPO,10195,Araraquara , SP
SHOPPING MANAUS VIANORTE,172097,Manaus , AM
